"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,First Round Capital,https://firstround.com/,USA,"San Francisco, New York, Philadelphia","Consumer, Enterprise, Fintech, Healthcare, Hardware","Seed, Early Stage, Series A",2004,"Howard Morgan, Josh Kopelman, Todd Jackson",854,189,"$750,000","$4,000,000","$738,000,000",info@firstround.com
,FirstMark Capital,https://firstmarkcap.com,USA,New York,"Consumer, Enterprise, Fintech, Marketplace, SaaS, Crypto & Blockchain, Big Data & Analytics","Seed, Early Stage, Late Stage",2008,"Amish Jani, Gerald Poch, Lawrence Lenihan, Rick Heitzmann",334,52,"$250,000","$10,000,000","$2,200,000,000",info@firstmarkcap.com
,Fitz Gate Ventures,https://fitzgate.com,USA,Houston,"SaaS, E-Commerce, AI & ML, Media, Travel & Hospitality",Early Stage,2015,"Jim Cohen, Mark Poag",29,2,"$500,000",,"$25,000,000",mark@fitzgate.com
,Five Seasons Ventures,https://fiveseasons.vc,France,Paris,"Food & Beverage, Consumer, DTC","Series A, Early Stage",2016,"Ivan Farneti, Niccolo Manzoni,",34,7,"€2,000,000","€4,000,000",,info@fiveseasons.vc
,FiveV Capital,https://fivevcapital.com,"Australia, New Zealand","Sydney, Darlinghurst","SaaS, AI & ML, E-Commerce, InsurTech, Fintech","Series A, Series B",2016,"Adrian Mackenzie, Srdjan Dangubic",24,10,"AU$1,000,000","AU$10,000,000","AU$250,000,000",info@fivevcapital.com
,FJ Labs,https://fjlabs.com,USA,New York,"Internet & Mobile, Gaming, Crypto & Blockchain, Fintech, SaaS","Pre-Seed, Series A, Seed, Series B, Late Stage",2016,"Fabrice Grinda, Jose Martin",964,250,"$400,000",,"$175,000,000",team@fjlabs.com
,Flare Capital,https://www.flarecapital.com/,USA,Boston,Healthcare,Early Stage,2013,"Michael Greeley, Bill Geary",70,11,,,"$350,000,000",+1 (617)-607-5060
,Floodgate,https://floodgate.com,USA,Palo Alto,"Consumer, Crypto & Blockchain, Enterprise, Fintech, Healthcare",Early Stage,2006,"Ann Miura-Ko, Michael Maples Jr",430,164,,"$100,000","$131,000,000",
,Fly Ventures,https://fly.vc,Germany,Berlin,"Big Data & Analytics, Cybersecurity, Developer Tools, Fintech, InsurTech, Supply Chain & Logistics, Climate & Sustainability, Healthcare","Seed, Early Stage, Pre-Seed",2016,Gabriel Matuschka,41,3,"€1,000,000","€5,000,000","€53,000,000",hello@fly.vc
,Forbion,https://forbion.com,"Netherlands, Germany, Singapore","Munich, Singapore, Naarden","Biotech, Healthcare, Life Sciences","Early Stage, Late Stage",2006,"Sander Slootweg, Martien Van Osch, Bart Bergstein",87,33,,,"€1,800,000,000",info@forbion.com
,Force Over Mass,https://fomcap.com,"United Kingdom, Belgium","London, Antwerp","AI & ML, Robotics, Big Data & Analytics, Crypto & Blockchain, Cloud, E-Commerce, Fintech, InsurTech, Gaming, Healthcare, Industrial, Legal, Supply Chain & Logistics, Marketplace, Consumer, SaaS, Cybersecurity","Seed, Series A, Series B",2013,Martijn De Wever,160,28,,,"£115,000,000",clientservices@fomcap.com
,Forefront Venture Partners,https://forefrontvp.com,USA,Boca Raton,"Consumer, SaaS","Early Stage, Seed, Series A",2014,Phil Nadel,106,31,"$5,000,000","$30,000,000",,
,Forerunner Ventures,https://forerunnerventures.com,USA,San Francisco,"DTC, Consumer, Healthcare, Education, Creator Economy","Seed, Series A, Growth",2010,Kirsten Green,242,56,,,"$1,000,000,000",investments@forerunnerventures.com
,Forestay Capital,https://forestay.vc,Switzerland,Geneva,"Deep Tech & Hard Science, Enterprise, SaaS","Series A, Series B, Series C",2017,Frederic Wohlwend,22,2,"$10,000,000","$20,000,000",,contact@forestay.vc
,Fortune Capital,https://www.fortunevc.com,China,"Shenzhen, Beijing, Changsha, Guangzhou, Wuhan, Chengdu, Hangzhou, Suzhou, Nanjing, Tianjin, Qingdao, Xi’an, Zhengzhou, Fuzhou, Xiamen, Hefei, Dongguan","Internet & Mobile, Media, Government Technology, Enterprise, Healthcare, Manufacturing, Energy","Series A, Series B",2000,"Liu Zhou, Liu Day",660,130,,,,fortune@fortunevc.com
,Forward Partners,https://forwardpartners.com,United Kingdom,London,"E-Commerce, Marketplace, AI & ML, Crypto & Blockchain","Seed, Series A",2013,Nicholas Brisbourne,104,22,"£200,000","£2,000,000","£60,000,000",nic@forwardpartners.com
,Forward VC,https://www.forwardvc.com/,Netherlands,Den Haag,"DTC, Fintech, Healthcare, SaaS, Big Data & Analytics, Marketing","Seed, Series A",2016,"Ruud Dekker, Vincent Wols",43,,"$50,000","$500,000",,
,Foundation Capital,https://foundationcapital.com,USA,Palo Alto,"Enterprise, Fintech, Consumer, Crypto & Blockchain","Early Stage, Late Stage",1995,"Bill Elmore, Kathryn Gould",674,158,"$1,000,000","$10,000,000","$3,900,000,000",info@foundationcapital.com
,Founder Collective,https://foundercollective.com,USA,Cambridge,"IoT, Internet & Mobile, Hardware, E-Commerce, Health & Wellness, Crypto & Blockchain, Enterprise, Consumer, Advertising",Seed,2009,"Andy Palmer, Anthony Goldbloom, Bill Trenchard, Caterina Fake, Chris Dixon, David Frankel, Elliot Cohen, Eric Paley, Jack Groetzinger, James Tamplin, Micah Rosenbloom, Nadia Boujarwah, Noah Glass, Noah Jessop, Parul Singh, Raj De Datta, Zach Klein",460,128,"$400,000","$2,000,000","$185,000,000",contact@foundercollective.com
,Founders Factory,https://foundersfactory.com,United Kingdom,London,"Fintech, Education, Travel & Hospitality, AI & ML, Media, DTC, Healthcare, Climate & Sustainability, Crypto & Blockchain",Seed,2015,"Brent Hoberman, George Northcott, Henry Lane Fox, Jim Meyerle, Julia Brucher",117,12,,"£250,000","£13,600,000",hello@foundersfactory.com
,Fountain Healthcare Partners,https://fh-partners.com,"USA, Ireland","New York, Dublin","Biotech, Life Sciences","Early Stage, Seed",2005,Aidan King,27,8,"€10,000,000","€50,000,000","€240,600,000",info@fh-partners.com
,Four Rivers Group,https://fourriversgroup.com,USA,San Francisco,"Cloud, SaaS, Biotech, Automation, Fintech, Cybersecurity, Big Data & Analytics",Late Stage,2007,"Farouk Ladha,",54,24,,,"$139,000,000",
,Freestyle,https://freestyle.vc/,USA,San Rafael,"IoT, SaaS, Big Data & Analytics, Enterprise, Consumer",Seed,2009,"David Samuel, Jenny Lefcourt",203,63,"$1,500,000","$3,000,000","$385,000,000",
,Freigeist,https://freigeist.com,Germany,Bonn,"Transportation, Food & Beverage, Aerospace & Space, Healthcare, Internet & Mobile, Manufacturing, Energy","Early Stage, Seed",2017,Frank Thelen,32,7,,,,office@freigeist.com
,Frog Capital,https://frogcapital.com,United Kingdom,London,"SaaS, Infrastructure, Big Data & Analytics, Industrial, Fintech, Proptech & Real Estate, Education",Late Stage,2008,Mike Reid,53,21,"£5,000,000","£20,000,000","£388,700,000",reception@frogcapital.com
,Frontier,https://frontiervc.com/,USA,Lehi,"AR & VR, Fintech, Healthcare, Energy",Early Stage,2002,David Cremin,164,51,,,"$101,000,000",info@frontiervc.com
,Frontline Ventures,https://frontline.vc,"Ireland, United Kingdom","Dublin, London","AI & ML, SaaS, Automation, Creator Economy, Crypto & Blockchain, Cybersecurity, Legal, Marketing","Early Stage, Seed",2012,Elaine Collins,8,2,"$250,000","$2,500,000","$83,800,000",
,Fuel Ventures,https://fuel.ventures/,United Kingdom,London,"Marketplace, SaaS","Pre-Seed, Seed, Series A",2014,Mark Pearson,133,11,"£150,000","£3,000,000","£80,000,000",oliver@fuel.ventures
,Future Energy Ventures,https://fev.vc,"Germany, Israel, USA","Essen, San Francisco","IoT, Crypto & Blockchain, AI & ML, Cybersecurity, Energy",Series A,2020,Jan Lozek,65,5,,,,ventures@eon.com
,Future Shape,https://www.futureshape.com/,France,Paris,"Food & Beverage, Transportation, Healthcare, Robotics, Consumer, Deep Tech & Hard Science, Agriculture, Fintech","Early Stage, Seed, Series A",2014,Tony Fadell,50,19,"€10,000,000","€50,000,000",,hello@futureshapellc.com
,FuturePlay,https://futureplay.co,South Korea,Seoul,"Healthcare, IoT, AI & ML, Crypto & Blockchain, Education, Proptech & Real Estate, Robotics, Fintech, Food & Beverage, AR & VR, Energy",Early Stage,2013,Ryu Joong Hee,164,20,,,"$8,900,000",apply@futureplay.co
,Galen Partners,https://galen.com,USA,Stamford,"Biotech, Healthcare","Late Stage, Private Equity",1990,Bruce Wesson,27,12,"$10,000,000","$30,000,000","$70,000,000",djhans@galen.com
,Gambit Ventures,https://gambit.co,USA,New York,Big Data & Analytics,Early Stage,2016,"Keith Petri, Lev Ekster",13,1,"$25,000","$150,000",,info@gambit.co
,Gapminder VC,https://gapminder.vc/,Netherlands,Amsterdam,"SaaS, AI & ML, Big Data & Analytics, Marketing, Cybersecurity, Healthcare, Fintech","Seed, Series A",2017,"Dan Mihaescu, Sergiu Rosca",45,1,,"€1,500,000","€45,000,000",contact@gapminder.vc
,GE Ventures,https://ge-ventures.com,"Liechtenstein, United Arab Emirates","Dubai, Fürstentum","E-Commerce, Fintech, Food & Beverage, Crypto & Blockchain, Proptech & Real Estate, Enterprise, DTC, SaaS, Travel & Hospitality",Late Stage,2020,"Dominik A. Lener, Shailesh Nair",14,2,,,,contact@ge-ventures.com
,Gecad Ventures,https://gecad.com,Romania,Bucharest,"Cybersecurity, Fintech, AI & ML, AR & VR, Transportation, IoT, Agriculture",Early Stage,1992,Radu Georgescu,28,13,,,,office@gecad.com
,Geekdom Fund,https://geekdomfund.com/,USA,San Antonio,"Enterprise, SaaS, Robotics, Crypto & Blockchain","Pre-Seed, Seed",2014,Michael Girdley,56,13,"$50,000","$500,000",,info@geekdomfund.com
,Gelt VC,https://gelt.vc,USA,"Los Angeles, New York, San Francisco, Ann Arbor","AI & ML, AR & VR, API, Big Data & Analytics, Automation, Climate & Sustainability, Cloud, Consumer, Creator Economy, Cybersecurity, Deep Tech & Hard Science, Developer Tools, E-Commerce, Education, Enterprise, Fintech, Industrial, Media, Future of Work, Food & Beverage, Gaming, Health & Wellness, IoT, Proptech & Real Estate, Robotics, Transportation, Hardware & Industrials","Pre-Seed, Seed, Series A",2016,"Keith Wasserman, Damian Langere",51,13,"$25,000","$250,000","$7,900,000",turner@gelt.vc
,General Catalyst,https://generalcatalyst.com,"USA, United Kingdom","San Francisco, Palo Alto, New York, Boston, London","Consumer, Enterprise, AI & ML, Cloud, Marketplace, SaaS, Developer Tools","Early Stage, Late Stage, Seed",2000,"David Fialkow, David Orfao, Joel Cutler",1094,174,"$500,000","$2,000,000","$8,600,000,000",gcinfo@generalcatalyst.com
,Genesis Block Ventures,https://www.gbv.capital/,,"Grand Cayman, Midland, Cayman Islands",Crypto & Blockchain,"Seed, Early Stage",2020,Leslie Tam,250,2,,,"$200,000,000",contact@gbv.capital
,Genesis Partners,https://www.genesispartners.com/,Israel,Herẕliyya,"Internet & Mobile, Media, Entertainment, Hardware, SaaS","Seed, Early Stage, Late Stage",1996,"Eddy Shalev, Eyal Kishon",113,37,"$2,000,000","$5,000,000","$604,000,000",hadar@genesispartners.com
,Geodesic Capital,https://www.geodesiccap.com/,"USA, Japan","Minato, San Mateo","Big Data & Analytics, AI & ML, Travel & Hospitality, Media, Marketplace, Cybersecurity, InsurTech, SaaS","Late Stage, Growth",2015,"John Roos, Ashvin Bachireddy",67,13,,,"$335,000,000",info@geodesiccap.com
,Georgian,https://georgian.io/,Canada,Toronto,"Fintech, AI & ML","Series B, Series C, Growth",2008,"John Berton, Justin Lafayette, Simon Chong",113,26,"$25,000,000","$75,000,000","$2,000,000,000",info@georgian.io
,GGV Capital,https://ggvc.com,"USA, Singapore, China","San Francisco, Singapore, Shanghai, Beijing","Enterprise, Social, Internet & Mobile, Biotech, Consumer, DTC, SaaS","Early Stage, Late Stage",2000,"Hany Nada, Joel Kellman, Scott Bonham, Thomas Ng",113,19,"$5,000,000","$25,000,000","$7,800,000,000",jrichards@ggvc.com
,Glilot Capital Partners,https://glilotcapital.com,Israel,Tel Aviv-Yafo,"Cybersecurity, Cloud, Devops, SaaS","Seed, Series B, Growth",2010,"Arik Kleinstein, Kobi Samboursky",73,13,,,"$607,000,000",info@glilotcapital.com
,Global Founders Capital,https://globalfounderscapital.com,"USA, Canada, United Kingdom, Germany, France, Sweden, Italy, Turkey, Israel, United Arab Emirates, Singapore, Indonesia, China, Brazil, Mexico","San Francisco, New York, Los Angeles, Toronto, London, Berlin, Munich, Paris, Stockholm, Milan, Istanbul, Tel Aviv-Yafo, Singapore, Dubai, Jakarta, Beijing, Mexico City, São Paulo","Consumer, SaaS, Enterprise, Internet & Mobile, IoT, E-Commerce, Productivity, Supply Chain & Logistics, InsurTech","Seed, Early Stage, Pre-Seed",2013,Oliver Samwer,868,59,"$1,000,000",,"$1,600,000,000",contact@globalfounderscapital.com
,Global Ventures,https://global.vc,"Egypt, United Arab Emirates","Dubai, Cairo, Abu Dhabi","Fintech, Healthcare, Education, InsurTech, Cybersecurity, Crypto & Blockchain, Supply Chain & Logistics, Future of Work, E-Commerce, Agriculture","Early Stage, Growth",2018,Noor Sweid,48,4,,,"$100,000,000",Info@global.vc
,Globis Capital Partners,https://www.globiscapital.co.jp/en/,Japan,Tokyo,"Consumer, Enterprise, Internet & Mobile","Early Stage, Late Stage, Seed",2006,"Jun Hosoya, Paul Packer, Yoshito Hori",156,35,,,"$830,000,000",info-gcp@globis.co.jp
,GMG Ventures,https://www.gmgventures.co/,United Kingdom,London,"Media, Entertainment, AI & ML, Enterprise, Deep Tech & Hard Science","Seed, Series A, Series B",2017,Alan Hudson,43,6,,,"£42,000,000",+44 (0)20 3353 4128
,GoAhead Ventures,https://www.goaheadvc.com/,USA,San Francisco,"AI & ML, AR & VR, Transportation, Cybersecurity, Healthcare, E-Commerce, Education, IoT, Life Sciences, Gaming, Food & Beverage, Supply Chain & Logistics, SaaS, Proptech & Real Estate, Marketplace, Automative","Pre-Seed, Seed, Early Stage",2007,"Clancey Stahr, Phil Brady",148,33,"$200,000","$1,000,000","$120,000,000",pitch@goaheadvc.com
,Gobi Partners,https://gobi.vc,"Malaysia, Hong Kong, Thailand, China, Indonesia, Pakistan, Philippines, Singapore","Kuala Lumpur, Hong Kong, Bangkok, Beijing, Ho Chi Minh City, Jakarta, Lahore, Manila, Shanghai, Singapore","AI & ML, Biotech, Crypto & Blockchain, E-Commerce, Education, Food & Beverage, Hardware, Healthcare, Supply Chain & Logistics, Marketplace, Media, SaaS, Transportation, AR & VR, Agriculture, Automative, Sports, Fintech","Seed, Early Stage, Series A",2002,Thomas Tsao,183,12,"$1,600,000",,"$430,500,000",mail@gobi.vc
,Golden Gate Ventures,https://goldengate.vc,"Singapore, Indonesia, Vietnam","Jakarta, Singapore, Ho Chi Minh City, Hanoi","Fintech, Supply Chain & Logistics, E-Commerce, Entertainment, Marketplace, SaaS, Healthcare, Deep Tech & Hard Science, Enterprise, Education","Seed, Series A",2011,"Jeffrey Paine, Paul Bragiel, Vinnie Lauria",107,9,"$125,000","$750,000","$280,000,000",hello@goldengate.vc
,Golden Palm Investments,https://www.gpalminvestments.com/,Ghana,Accra,"Fintech, Marketplace, Healthcare",Early Stage,2008,Erharuyi Idemudia,32,5,,,,info@gpalminvestments.com
,Golden Ventures,https://www.golden.ventures/,Canada,Toronto,"Consumer, Crypto & Blockchain, Education, Gaming, Fintech, Food & Beverage, Life Sciences, Media, Manufacturing, Sports",Seed,2011,Matt Golden,140,14,"$500,000","$2,000,000","$230,900,000",info@golden.ventures
,Good News Ventures,https://goodnewsventures.com,Canada,Ontario,"SaaS, Enterprise, Crypto & Blockchain, AI & ML, IoT, Manufacturing","Early Stage, Seed, Pre-Seed",2017,"Marat Mukhamedyarov, Mohan Markandaier, Mona Kung",42,3,"$50,000","$5,000,000",,info@goodnewsventures.com
,Goodwell Investments,https://goodwell.nl,"Netherlands, Kenya","Nairobi, Amsterdam","Internet & Mobile, Agriculture, Fintech",Early Stage,2005,Wilhelmus Van Der Beek,58,15,"$250,000","$5,000,000","$70,000,000",info@goodwell.nl
,Google Ventures,https://www.gv.com/,"USA, United Kingdom","Mountain View, San Francisco, Boston, New York, London","Consumer, Enterprise, Life Sciences, Marketplace, Transportation, Productivity","Seed, Pre-Seed, Series A, Early Stage, Late Stage",2009,Bill Maris,987,225,"$2,000,000","$30,000,000","$100,000,000",
,Gradient Ventures,https://www.gradient.com/,USA,Santa Clara,"AI & ML, Education, Fintech, Supply Chain & Logistics, Travel & Hospitality, Consumer, InsurTech, Healthcare, Life Sciences, Productivity, Enterprise, Crypto & Blockchain, Cybersecurity","Seed, Early Stage, Series A, Pre-Seed",2017,Anna Patterson,163,23,,,"$6,300,000",
,Graduate Entrepreneur,https://graduate.nl,Netherlands,Rotterdam,"AI & ML, Marketplace, Legal","Pre-Seed, Seed, Series A",2021,Auke Van Den Hout,16,,"€76,000","€2,000,000","€56,000,000",
,Granatus Ventures,https://granatusventures.com,"Singapore, United Kingdom, Armenia","Singapore, London, Yerevan","Social, Internet & Mobile, Big Data & Analytics, Cloud","Seed, Early Stage, Series A",2013,"Manuk Hergnyan, Pierre Hennes, Yervand Sarkisyan",16,2,,,"$40,000,000",info@granatusventures.com
,Granite Ventures,https://granitevc.com,USA,San Francisco,"SaaS, Education, Consumer, Social, Internet & Mobile, Cloud, Enterprise","Seed, Series A, Early Stage, Series B",1992,"Chris Hollenbeck, Jackie Berterretche, Standish O'Grady",169,56,"$500,000","$4,000,000","$500,000,000",info@granitevc.com
,Graph Ventures,https://graphventures.com,USA,Palo Alto,"Crypto & Blockchain, Consumer, Developer Tools, Fintech, Education, SaaS, Enterprise","Early Stage, Seed",2011,"Julio Vasconcellos, Matt Wyndowe, Omar Siddiqui, Razmig Hovaghimian, Sarah Smith, Sebastien De Halleux, Serkan Piantino",229,77,,,,
,Grayhawk Capital,https://grayhawkcapital.us,USA,Scottsdale,"Cloud, SaaS, Enterprise, Cybersecurity, Fintech, IoT, Productivity","Early Stage, Late Stage, Series A, Growth",1999,"Brian N. Burns, John C. Bentley, Sherman I. Chu",40,9,"$2,000,000","$2,500,000","$525,000,000",info@grayhawkcapital.us
,Great North Venture,https://greatnorthventures.com/,USA,St. Cloud,"Enterprise, Consumer, Proptech & Real Estate, Healthcare, Life Sciences, Transportation, Education, E-Commerce, Supply Chain & Logistics, Travel & Hospitality, Fintech","Seed, Series A, Early Stage",2017,"Rob Weber, Ryan Weber",44,8,"$10,000","$250,000","$40,000,000",
,Great Oaks,http://www.greatoaksvc.com/,USA,New York,"E-Commerce, SaaS, Cloud, Consumer, Marketplace, Education, Healthcare, Enterprise, Fintech","Series A, Seed",2005,Andrew K. Boszhardt Jr,300,103,"$50,000","$500,000","$80,000,000",info@greatoaksvc.com
,GreenHouse Capital,https://greenhouse.capital/,Nigeria,Ikeja,"E-Commerce, Fintech, Developer Tools, Education",Early Stage,2016,"Bunmi Akinyemiju, Kunmi Demuren",39,2,"$500,000",,,info@greenhouse.capital
,Greycroft Partners,https://www.greycroft.com/,USA,"New York, Los Angeles","Consumer, Enterprise, Fintech, SaaS, Internet & Mobile, Healthcare, AI & ML, Automation, Cloud","Early Stage, Series A, Private Equity",2006,"Alan Patricof, Dana Settle, Ian Sigalow",737,115,"$1,000,000","$10,000,000","$2,000,000,000",info@greycroft.com
