Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Techstars Future of Longevity Accelerator,https://www.techstars.com/accelerators/longevity,United States,Washington,"Longevity, Caregiving",,,11,
Starttech Ventures,http://www.starttech.vc,United States,San Francisco,Industry Agnostic,"Dimitris Tsingos, Katerina Kastriti, Vangelis Mihalopoulos",2012,11,1
Vietnam Innovative Startup Accelerator,https://www.viisa.vn/,Vietnam,Ho Chi Minh City,"Enterprise, Consumer","Duc Tran, Hieu Vo",2017,11,1
GLOCAL,http://www.glocalmanagers.com,Argentina,Rosario,Agri FoodTech,Bernardo Milesy,2016,11,
Turk Telekom PILOT,https://www.turktelekompilot.com.tr,Turkey,Istanbul,"5G Tech, HealthTech, SaaS, Energy",Duygu Oktem Clark,2013,11,
Aligned Partners,http://alignedvc.com,United States,Menlo Park,FinTech,"Jodi Sherman Jahic, Susan Mason",2011,11,2
Startup Canada,http://www.startupcan.ca/,Canada,Ottawa,Industry Agnostic,,2012,11,
Gennext Innovation Hub,https://www.jiogennext.com,India,Ghansoli,"FinTech, HealthTech, Blockchain, IoT, EdTech",,2014,11,1
K-Startup Grand Challenge,http://www.k-startupgc.org,South Korea,Pangyo,"AI, Blockchain, Vehicle Automation, Tech",,2019,11,
Growth Circuit,https://www.growthcircuit.co/,United States,San Francisco,Technology,,2016,11,1
METABRIDGE,http://metabridge.com,Canada,Kelowna,Technology,Steve Wandler,2008,11,
VLX Ventures,http://www.vlx.co.il,Israel,Jerusalem,"AI, Biotech, Pharmaceutical",,2013,11,
EMERGE CoLab,http://emerge.technexus.com,United States,Chicago,Industrial Wearables Technologies,"Fred Hoch, Terry Howerton",2015,11,
Gojek Xcelerate,https://www.gojek.com/gojekxcelerate/,Indonesia,Jakarta,"Lifestyle, Beauty, Entertainment, Healthcare, Ecommerce",,,11,
Dreamit Securetech,https://www.dreamit.com/securetech,United States,New York,"HealthTech, Securetech, Urbantech",,,11,1
Costarter,http://www.costarter.ca,Canada,Thunder Bay,Industry Agnostic,,,11,
STARTPLATZ,http://www.startplatz.de/,Germany,Cologne,"Technology, Web3, Metaverse",Lorenz Graef,2012,11,1
Abbey Road Red,http://www.abbeyroad.com/abbeyroadred,United Kingdom,London,Music Tech,,2015,11,
TruVenturo,http://www.truventuro.com/,Germany,Hamburg,"Pharmaceutical, Elder Care, Neuroscience, Biotech",,2009,11,1
Paris&Co Incubateurs,http://incubateurs.parisandco.com/,France,Paris,"Digital Publishing, Ehealth, Cultural Digital, Creative Digital, Smart Food, Sports, Tourism, Sustainable Cities",,,11,1
1stMOVER,https://www.1stmover.org/,Germany,Düsseldorf,"IoT, Big Data, AI, Blockchain, Robotics, VR, AR","Klemens Gaida, Peter Hornik, Ralf Lauterbach",2009,11,
Rokk3r,http://www.rokk3r.com,United States,Miami,"Blockchain, AI, 3D Printing, Internet, Nanotechnology","Brian Sanchez, Charles Irizarry, German Montoya, Juan Montoya, Nabyl Charania",2012,10,1
Gayo Capital,https://www.gayo.capital/,Singapore,Singapore,"AgTech, Supply-Chain, Logistics, Lifestyle, Education, FinTech","Edward Ismawan Chamdani, Ishara Yusdian",2020,10,
ventureLAB,http://www.venturelab.ca/,Canada,Markham,"Hardware, Software Technologies",Melissa M. Chee,2011,10,
Upward,https://www.moveupward.city,United States,New York,"Clean Energy, Construction, Energy Efficiency, Energy Storage, Real Estate, Renewable Energy, Smart Home Solar",Shana Schlossberg,2016,10,
Xoogler,https://xoogler.co,,,Industry Agnostic,"Christopher Fong, Ethan Beard, Kushagra Shrivastava",2015,10,
"Haus Capital, LLC",https://www.hauscap.com,United States,Beverly Hills,"Food, Beverages",Phil Haus,2017,10,1
Bharat Inclusion Seed Fund,https://bharatinclusion.ciie.co/,India,Ahmedabad,"AgTech, HealthTech, Insuretech, Consumer Internet, Software",,2018,10,
Creative Startups,http://creativestartups.org/,United States,Santa Fe,Industry Agnostic,,2007,10,
The FinLab,http://www.thefinlab.com/,Singapore,Singapore,FinTech,,2015,10,
SamStella,http://www.samstella.com,United States,New York,"SaaS, AdTech, Ecommerce",,2011,10,4
LaunchTime,http://www.launchtime.com,United States,New York,"Analytics, Big Data, Internet, Gaming, Ecommerce",Benjamin Sun,,10,5
Epicenter Logistics Innovation Accelerator,http://www.epimemphis.com/supply-chain-and-logistics-accelerator/,United States,Memphis,"AI, Creative, Data, FinTech, Food, Beverage, Hardware, Healthcare Tech, Smarthome Tech, Logistics, Supply Chain, Medical Devices, Music, Professional Services Tech",,,10,
Ready2Launch,https://ready2launch.ca/,Canada,Halifax,"Research Commercialization, Health",,,10,
John Keells X,https://johnkeellsx.com/,Sri Lanka,Colombo,Industry Agnostic,,2016,10,
Amrita TBI,http://www.amritatbi.com,India,Kollam,Information Technology,,2008,10,1
IONIQ,https://www.ioniq.com,Germany,Berlin,"Data, AdTech, FinTech","Hanno Fichtner, Hendrik Krawinkel, Jan Beckers, Ruben Haas, Tim Koschella",2011,10,2
Signal Ventures,https://www.thesignalgroup.com/signal-ventures,United Kingdom,London,Technology,,,10,2
SR Innovation Exchange,https://www.srix.in/index.php,India,Warangal,"Agriculture, Healthcare, Environment, Education",,,10,
ABN AMRO & Techstars Future of Finance Accelerator,https://www.techstars.com/accelerators/abn-amro-techstars-future-of-finance-accelerator,The Netherlands,Amsterdam,FinTech,,,10,
Qi3 Ventures,http://www.qi3.co.uk/ventures,United Kingdom,Cambridge,"Space, High Value Manufacturing, Ecommerce",,1999,10,1
Techstars Energy Accelerator in Partnership with Equinor,https://www.techstars.com/accelerators/equinor-energy,Norway,Oslo,Energy,,,10,
NCI Waterstart,https://www.n-ci.com/waterstartcapital/,France,Rouen,Industry Agnostic,,,9,
LaunchVic,http://launchvic.org/,Australia,Melbourne,Industry Agnostic,Jo Burston,2015,9,1
Mahindra Partners,http://www.mahindrapartners.com,India,Mumbai,"Healthcare, Cleantech, Renewables, Consumer","J C Mahindra, K C Mahindra, M. G. Muhammad",2010,9,1
SheEO,https://sheeo.world,Canada,Toronto,Industry Agnostic,Vicki Saunders,2013,9,
Pivotal Ventures,https://www.pivotalventures.org,United States,Seattle,"Media, Tech",Melinda Gates,2015,9,
Lightning Lab,http://www.lightninglab.co.nz,New Zealand,Wellington,Industry Agnostic,Stefan Korn,2012,9,
LVT Capital,https://lvtcapital.com/,Australia,Edgecliff,"Cryptocurrency, Blockchain",Pino Tedesco,2014,9,
Allen Institute for Artificial Intelligence,http://allenai.org/,United States,Seattle,AI,Paul Allen,2014,9,2
Flex Lab IX,http://flextronicslabix.com,United States,San Jose,"Automotive, Communications, Consumer Devices, Healthcare, Industrial, Cloud",,2013,9,
Incubit Technology Ventures,http://www.incubitventures.com/,Israel,Be'Er Sheva,"Communication, ICT, Networks, Software, Automation, Nano Technology, Information Technology, Electro-Optics, Aviation, Vision, Image Processing, Medical Devices",,2013,9,
BizTEC,http://www.biztec.org.il,Israel,Haifa,"Healthcare, AI",,2004,9,5
Energia Ventures,https://www.energiaventures.com/,Canada,Fredericton,"AI, Cleantech, Cyber Security",,,9,
Real Estate Accelerator Program,http://www.brigadereap.com,India,Bangalore,"Sustainability, Digital Marketing, Real Estate Intelligence, Construction Tech, Marketplace",Nirupa Shankar,2016,9,1
IIT Mandi Catalyst,http://iitmandicatalyst.in/,India,Mandi,"Agriculture, Biotech, Healthcare, Clean Energy, Waste, Enterprise, Education, Disaster Management, Road Safety, Travel, Consumer Internet",,,9,
iNOVO,https://www.startupbootcamp.org/accelerator/afritech-inovo/,Nigeria,Lagos,"EdTech, AgTech, HealthTech",,,9,
Hacking Health Accelerator,http://www.hhaccelerator.com/,Canada,Montréal,Healthcare,"Etienne Lagacé, Luc Sirois",2015,9,1
ICE71 Accelerate,https://ice71.sg/accelerate/,Singapore,Singapore,Cyber Security,,,9,
HVF Labs,http://www.hvflabs.com,United States,San Francisco,"Technology, Data",Max Levchin,2002,9,4
imec,https://www.imec-int.com/en,Belgium,Leuven,"Healthcare, Clean Energy",Roger Van Overstraeten,1982,9,
Hemex,https://hemex.ch/,Switzerland,Liestal,"Healthcare, Technology","Pascal Winnen, Paul Hadváry",2015,9,
Fashion Technology Accelerator Milan,http://www.ftaccelerator.it/,Italy,Milan,"Fashion, Luxury, Retail","Enrico Beltramini, Paolo Ivancevich",2013,9,
DB Accelerator,https://dbmindbox.com/en/,Germany,Berlin,"Railway Infrastructure, Mobility",,2015,9,1
Top Seeds Lab,http://topseedslab.com,Spain,Madrid,Traveltech,Ignacio Macias,2012,9,
Michelin Scotland Innovation Parc,https://www.msipdundee.com/,United Kingdom,Dundee,"Sustainability, Mobility",,2019,9,
ITU Startup Programme,https://itustartup.dk,Denmark,Copenhagen,"SaaS, AgTech, Martech, AR, VR",Vlad Gidea,2016,9,
Netangels,http://www.netangels.fr/,France,Marseille,Industry Agnostic,"Liotta Denis, Mouillet OLviier",2013,9,
MAKOTO,http://www.mkto.org/,Japan,Sendai,Industry Agnostic,,2011,8,
Sweat Equity Ventures,https://www.sweatequity.vc,United States,San Francisco,Technology,Dan Portillo,2018,8,1
Social Alpha,https://www.socialalpha.org/,India,Bangalore,"Energy, Waste, Health",Manoj Kumar,2015,8,
Fast Forward,https://www.ffwd.org/,,,"Health, Human Rights, Education, Environment",Olivier Guillaumin,2009,8,
SINE,https://www.sineiitb.org/sine/home,India,Powai,"Cleantech, FinTech, IoT, Information Technology, MedTech",,,8,
Lofty Ventures,http://loftyventures.com/,United States,Chicago,"Software, Information Technology",Christopher Deutsch,,8,
Waldencast,http://www.waldencast.com/,United States,New York,"Beauty, Wellness","Hind Sebti, Michel Brousset, Simon Sarazin",2018,8,1
Saltagen Ventures,http://saltagen.com,Hong Kong,Central,Technology,Joseph Fung,2017,8,
SKU,http://www.sku.is/,United States,Austin,"Consumer Goods, Consumer Services",Shari Wynne Ressler,2011,8,
Flipkart Leap,https://www.flipkartleap.com/,,,"Software, Food, AgTech",,,8,
NAVER D2 Startup Factory,http://d2startup.com/,South Korea,Seoul,Industry Agnostic,,2013,8,
Samurai Incubate Africa,https://samurai-incubate-africa.asia/,,,Technology,,,8,
Arya Women's Investment Platform,http://www.aryawomen.com,Turkey,Istanbul,Industry Agnostic,"Ahu Serter, Deniz Alexandra Duygu",2013,8,
Imagine Lab,http://imaginelab.cl,Chile,Santiago,"Ecommerce, Information Technology","Javier Cueto Soto, Luis Stein, Manuel Pino León, Roberto Pino, Rodrigo Lafuente",2014,8,1
Flat6Labs,https://www.flat6labs.com/,Egypt,Gîza,Technology,Ahmed Abuiliazeed,2016,8,
TechLaunch,http://techlaunch.com,United States,Clifton,Technology,Mario Casabona,2011,8,
Apple Seed,http://appleseed.sg/,Singapore,Singapore,Technology,,2013,8,
Innovatemap Ventures,https://www.innovatemap.ventures/,United States,Indianapolis,Technology,,2014,8,2
Same Page Capital,https://samepagecapital.com/,United States,San Francisco,"Technology, AR, VR, Pubtech, Data, IoT",Norm Page,2008,8,1
AB PLUS INFORMATION TECHNOLOGIES,https://www.abplusbilisim.com/en/home-5/,Turkey,Kadikoy,"Life Technologies, Logistics","Akin Arslan, Burcu Kale, Hakan Özçubukcu",2016,8,
NC IDEA SEED,https://ncidea.org/grants-programs/nc-idea-seed/,United States,Durham,Industry Agnostic,,,8,
Bayer G4A,https://www.g4a.health,Germany,Berlin,"Healthcare, HealthTech, Technology",,2013,8,
Baltic Sandbox,https://balticsandbox.eu,Lithuania,Vilnius,Technology,"Andrius Milinavičius, Natalja Lichodedova, Sandra Golbreich",2018,8,
LUMO labs,http://www.lumolabs.io,The Netherlands,Eindhoven,"AI, Data, Blockchain, Robotics, Drones, IoT, VR, AR","Andy Lürling, Sven Bakkes",2016,8,
Emerging Markets Entrepreneurs - Myanmar,http://www.eme.asia/,Myanmar,Yangon,"Education, Healthcare, Logistics, Consumer Services",,2018,8,
Hatch Blue Ltd,https://www.hatch.blue/,Ireland,Cork,"Marine Bioeconomy, Aquaculture, Alternative Seafood,","Georg Baunach, Wayne Murphy",2017,8,
Heartbeat Labs,https://www.heartbeatlabs.com/,Germany,Berlin,Healthcare,"Eckhardt Weber, Hendrik Krawinkel, Jan Beckers, Stephanie Kaiser",2017,8,3
Yunus Social Business,http://www.yunussb.com,Germany,Berlin,"Employment, Education, Healthcare, Clean Water, Clean Energy",Saskia Bruysten,2011,8,
Launcher,https://launcher.sk,Slovakia,Bratislava,"Information Technology, Mobile, Digital",,2013,8,
Climate-KIC Accelerator London,https://www.climate-kic.org/programmes/entrepreneurship/accelerator/,Belgium,Brussels,"Cleantech, Climate, Agriculture, Transportation, Logistic, Clean City, Sustainability",,2010,8,1
VILLAGEx,https://www.ideavillage.org/villagex,United States,Washington,Industry Agnostic,,,8,
Female Founders Alliance,https://www.femalefounders.org/,United States,Seattle,Industry Agnostic,Leslie Feinzaig,2017,7,
XLerateHealth,http://www.xleratehealth.com,United States,Louisville,"Medical Devices, Diagnostics, Drug Development, Healthcare Services","Bob Saunders, Bobby Ferreri, Ted Smith",2011,7,
Malaysian Technology Development Corporation,http://www.mtdc.com.my/,Malaysia,Kuala Lumpur,Industry Agnostic,,1992,7,1
DuckDAO,https://duckdao.io/,,,"FinTech, Blockchain",,2021,7,
Aurum Ventures,http://www.aurumventures.in,India,Mumbai,"Real Estate, Mineral Exploration, FinTech",Ashish Deora,1999,7,3
EVC Ventures,http://www.evc.ventures/,United States,Chicago,Technology,,2014,7,1
eHealth Ventures,http://www.ehealthventures.com,Israel,Tel Aviv,"HealthTech, Digital Diagnostics, Therapeutics","Mark D. Stovsky, Ophir Shahaf, Steve Shapiro, Talor Sax, Tom Sudow",2014,7,
Fintech Innovation Lab,https://www.fintechinnovationlab.com/,United States,New York,FinTech,Maria Gotsch,2011,7,2
Hive Ventures,http://www.hiveventures.io,Taiwan,Taipei,"Data, Software, AI","John Chen, Will Wang, Yan Lee",2018,7,
Curious Minds,http://www.curiousminds.com,United States,West Hollywood,Technology,"Anthony Kelani, David Gonen, Jonathan Gonen, Shlomo Gonen",2004,7,
Venture Hive,http://venturehive.co,United States,Miami,"Hospitality, Healthcare, Logistics Tech",Susan Amat,2012,7,3
MBC BioLabs,https://mbcbiolabs.com,United States,San Francisco,"Life Science, Biotech",,2013,7,1
Collaborative Ventures,http://collaborative-ventures.com,United States,Concord,"EdTech, Medical Devices",,1997,7,
Arc Capital Development,http://www.arccd.com/,United States,Denver,"Information Technology, EdTech","Kevin Custer, Rita Ferrandino",2002,7,
Talent Tech Labs,http://www.talenttechlabs.com,United States,New York,Technology,"Gene Holtzman, Jonathan Kestenbaum",2012,7,1
UK Lebanon Tech Hub,http://www.uklebhub.com/,Lebanon,Beirut,Industry Agnostic,Nadim Zaazaa,2015,7,
Ridgebox,https://ridgebox.com,United States,Astoria,Technology,"Alexander Reyes, Ashwin Dayal, Stephen Bogda",2015,7,2
Encubay,https://www.encubay.com,India,Pune,Industry Agnostic,"Deeksha Ahuja, Eashita Maheshwary",2019,7,
"Ready, Set, Raise",https://www.femalefounders.org/readysetraise,United States,Seattle,Industry Agnostic,,2018,7,
Spark10 Accelerator,http://www.spark10.com/,India,Hyderabad,"FinTech, SaaS, Ecommerce, Advertising, AI, Fashion, Marketplaces","Atal Malviya, LN Parimi",2015,7,1
Maloekoe Ventures,http://www.maloekoeventures.com,Indonesia,Jakarta,Technology,Adrien Gheur,2015,7,
DLabs,http://www.isbdlabs.org/,India,Hyderabad,"EdTech, Clean Energy, Solar, Electric Vehicle, Smart Cities, Education, Healthcare, Agriculture, Infrastructure, FinTech, Waste",,2015,7,
MashUp Angels,http://mashupangels.com,South Korea,Seoul,"Fashion, Beauty, Healthcare, AI, Software, FoodTech, FinTech",Taekkyung Lee,2013,7,
ICE71,https://www.ice71.sg,Singapore,Singapore,"Cyber Security, IoT",,2018,7,1
Tech Hub Harare,http://www.cowork.co.zw,Zimbabwe,Harare,Technology,,2015,7,
Nex Cubed Fintech,https://www.nex3.com/fintech/,United States,San Francisco,"Healthcare, Government, Consumer, Retail, AI, Ecommerce",,2019,7,
Blockrocket,https://www.blockrocket.io/,Germany,Frankfurt,Blockchain,Benjamin Horvath,2019,7,
nfinitiv funding,https://nfinitiv.com/,Luxembourg,Luxembourg,Industry Agnostic,,2017,7,3
B4i - Bocconi for innovation,https://www.b4i.unibocconi.it/,Italy,Milan,Industry Agnostic,,2019,7,
Apollo Health Ventures,https://www.apollo.vc,Germany,Berlin,Healthcare,"Alexandra Bause, James Peyer, James Peyer, Nils Regge, Ole Mensching",2016,7,
Deeptech Labs,https://www.dtl.vc/,United Kingdom,Cambridge,Technology,,,7,
SocialFare,http://socialfare.org/en/,Italy,Torino,Industry Agnostic,,,7,
DART Labs I Ventures,http://dartlabs.io,Switzerland,Zürich,"HealthTech, Climate, Decarbonization, Food, Agriculture, Sustainable Materials","Arijana Walcott, Sophie Lamparter",2018,7,1
EIT Urban Mobility,https://www.eiturbanmobility.eu/,Spain,Barcelona,Technology,,,7,
PANDO. Ventures,http://pando-ventures.com,Germany,Wiesbaden,Industry Agnostic,"Arne Wüllner, Christopher Reimann, Florens Knorr, Michael Noven",2014,7,
Up to Eleven Digital Solutions,http://ut11.net/,Austria,Graz,Technology,"Jürgen Pansy, Martin Pansy",2012,7,1
Incutex Company Builders,http://www.incutex.com.ar,Spain,Córdoba,Industry Agnostic,"Eduardo Coll, Gabriela Fernandez, Juan Santiago, Walter Abrigo",2012,7,
BMW Innovation Lab,http://bmwinnovationlab.co.uk/,United Kingdom,Farnborough,"Automotive, Auto Finance",,,7,2
InnoWerft,http://www.innowerft.com/,Germany,Walldorf,Technology,,2010,7,
Club Acceleratori,http://clubacceleratori.com,Italy,Milan,Technology,,,7,
Electropreneur Park,https://electropreneurpark.in/,India,New Delhi,"Mobility, Energy, IoT, Agriculture, Aviation, Materials Science, Medical, Robotics, Transportation, Entertainment, Information Technology, Communication",,2016,7,
Smart ESA,https://www.smart-esa.com,Lebanon,Beirut,Industry Agnostic,,2017,7,
Spin Ventures,https://spin.vc/,United Kingdom,London,Climate Tech,,2012,6,
OneValley,http://www.theonevalley.com,United States,San Mateo,Industry Agnostic,Kayvan Baroumand,2012,6,
Founder Institute,http://www.fi.co,United States,Palo Alto,Industry Agnostic,"Adeo Ressi, Adriana Herrera, Bozhidar Georgiev, Eugenio Grapa, Fatima Awan, Graham Mann, Hugo H. Macedo, Jonathan Greechan, Pawan J. Mehra, Pedro Vieira, Sandro Batista, Tom Walpole",2009,6,
